Sura_Number,Verse_Number,Subtitle_Before_Verse,VerseText_Part1,Subtitle_Middle_Of_Verse,VerseText_after_MidSubtitle_if_any,Footnote,
,160,,"তাদের সীমাতিক্রমের কারনে,আমরা ইহুদীদের জন্য ভালো খাদ্য নিষিদ্ধ করেছিলাম যা তাদের জন্য আইনসিদ্ধ ছিল; অধিকন্তু অনবরত আল্লাহর পথে  বাধা প্রদান করার জন্য।",,,,
,161,,"এবং চড়া সুদ অনুশীলনের জন্য,যা নিষিদ্ধ ছিল এবং লোকেদের অর্থ অন্যায়ভাবে ভোগ করার জন্য। আমরা তাদের মধ্যকার অবিশ্বাসীদের জন্য প্রস্তুত রেখেছি যন্ত্রনাদায়ক শাস্তি।",,,,
,162,,"আর তাদের মধ্যে যাদের জ্ঞান দৃঢ় ভিত্তির উপর প্রতিষ্ঠিত এবং বিশ্বাসীরা,তারা বিশ্বাস করে যা তোমার প্রতি অবতীর্ণ হয়েছিল এবং যা তোমার পূর্বে অবতীর্ণ হয়েছিল। তারা সংযোগ প্রার্থনাসমূহ (সালাত) পালনকারী,এবং বাধ্যতামূলক দান (যাকাত) প্রদানকারী ; তারা আল্লাহতে এবং শেয দিবসে বিশ্বাসকারী। আমরা তাদেরকে এক মহা প্রতিদান প্রদান করি।",,,,
,163,আল্লাহর বার্তাবাহকরা,"আমরা তোমাকে অনুপ্রানিত করেছি,যেমন অনুপ্রানিত করেছিলাম নুহ এবং তার পরের নবীদেরকে। এবং আমরা অনুপ্রানিত করেছিলাম ইব্রাহিম,ইসমাইল,ইসহাক,ইয়াকুব,গোত্রপ্রধানদের,ঈসা,আয়ুব,ইউনুস,হারুন,এবং সোলাইমানকে। এবং আমরা দাউদকে যবুর দিয়েছিলাম।",,,,
,164,,"বার্তাবাহকরা,যাদের সম্পর্কে আমরা তোমাকে বলেছি,এবং বার্তাবাহকেরা,যাদের সম্পর্কে আমরা তোমাকে কখনো বলিনি। এবং আল্লাহ মুসার সাথে সরাসরি কথা বলেছিলেন।",,,,
,165,,"বার্তাবাহকেরা সুসংবাদ,একই সাথে সতর্কতা প্রদান করতে আসে। এভাবে,লোকদের কোন অজুহাত থাকবে না যখন তারা আল্লাহর সম্মুখীন হয়,তাদের কাছে এই সকল বার্তাবাহকদের আসার পর। আল্লাহ সর্বশক্তিমান,সবচেয়ে জ্ঞানী।",,,,
,166,,"কিন্তু আল্লাহ সাক্ষ্য দেন,সে সম্বন্ধে,যা তিনি তোমার কাছে প্রকাশ করেছেন; তিনি তাঁর জ্ঞান থেকে তা প্রকাশ করেছেন। এবং ফেরেশতারা একই রকম সাক্ষ্য দেয়,কিন্তু সাক্ষী হিসেবে আল্লাহই যথেষ্ট।   ",,,,
,167,,"নিশ্চিতভাবে,যারা অবিশ্বাস করে এবং আল্লাহর পথে বাধা দেয়,তারা বহুদূর পথভ্রষ্ট হয়েছে। ",,,,
,168,,"যারা অবিশ্বাস করে এবং সীমাতিক্রম করে,আল্লাহ তাদেরকে ক্ষমা করবেন না,না তিনি তাদেরকে কোন ভাবে পথপ্রদর্শন করবেন;",,,,
,169,,"নরকের পথে ছাড়া,যেখানে তারা চিরকাল বসবাস করে। এটা আল্লাহর জন্য করা সহজ।",,,,
,170,,"হে লোকেরা,বার্তাবাহক তোমাদের কাছে তোমাদের প্রভুর পক্ষ থেকে সত্য সহকারে এসেছে। সুতরাং,তোমারা তোমাদের নিজেদের ভালোর জন্য বিশ্বাস করবে। যদি তোমরা অবিশ্বাস করো; তবে আকাশ এবং পৃথিবীর সবকিছু আল্লাহর। আল্লাহ সর্বজ্ঞ,সবচেয়ে জ্ঞানী।",,,,
,171,ত্রিমূর্তি /ত্রিত্ব: একটি মিথ্যা মতবাদ ,"হে ঐশীগ্রন্থের লোকেরা,তোমাদের ধর্মের সীমা অতিক্রম করো না,এবং আল্লাহ সম্পর্কে সত্য ছাড়া বলবে না। মরিয়মের পুত্র,ঈসা,মসিহ ছিল আল্লাহর বার্তাবাহক,এবং তাঁর বানী যা তিনি মরিয়মের কাছে পাঠিয়েছিলেন,এবং তাঁর থেকে একটি প্রকাশনা। সুতরাং,তোমরা আল্লাহ এবং তাঁর বার্তাবাহকদের বিশ্বাস করবে। তোমরা ""ত্রিত্ব”বলবে না। তোমরা তোমাদের নিজেদের ভালোর জন্য এটি থেকে বিরত থাকবে। আল্লাহই শুধুমাত্র একক উপাস্য। তিনি মহিমান্বিত;পুত্র থাকার চেয়ে তিনি অনেক বেশি মহিমান্বিত। আসমান সমূহে যা কিছু আছে এবং পৃথিবীতে যা কিছু আছে,সব তাঁর। আল্লাহ প্রভু এবং মনিব হিসেবে যথেষ্ট। ",,,,
,172,,"মসিহ আল্লাহর একজন দাস হওয়াকে কখনোই ঘৃণা করত না,না করত নিকটতম ফেরেশতারা। যারা তাকে উপাসনা করতে ঘৃণা করে,এবং আত্মসমর্পণ করতে খুব অহংকারী,তিনি তাদের সবাইকে  তাঁর সামনে তলব করবেন। ",,,,
,173,,"আর যারা বিশ্বাস করে এবং সৎ জীবন-যাপন করে,তিনি তাদেরকে পরিপূর্ণ প্রতিদান দিবেন,এবং তাদেরকে তাঁর করুনা বর্ষন করবেন। আর যারা ঘৃণা করে এবং অহংকারী হয়,তিনি তাদেরকে যন্ত্রনাদায়ক শাস্তি দিবেন। তারা আল্লাহর পাশে না পাবে কোন প্রভু,না কোন রক্ষাকারী।",,,,
,174,"কোরানের গানিতিক কোড: বাস্তব,অখন্ডনীয় প্রমান ","হে লোকেরা,তোমাদের প্রভু হতে তোমাদের কাছে একটি প্রমান এসেছে ; আমরা তোমাদের কাছে এক প্রগাঢ় আলোকবর্তিকা অবতীর্ণ করেছি। ",,,,
,175,,"তারা যারা আল্লাহকে বিশ্বাস করে,এবং তাকে আঁকড়ে ধরে থাকে,তিনি তাদেরকে তাঁর পক্ষ থেকে করুনা,এবং দয়া মঞ্জুর করবেন,এবং তাদেরকে তাঁর দিকে পথ-প্রদর্শিত করবেন,এক সরল পথে।",,,,
,176,,"তারা তোমার সাথে পরামর্শ করে; বল,“আল্লাহ অবিবাহিত ব্যক্তির বিষয়ে তোমাদেরকে উপদেশ দেন। যদি কেউ মৃত্যু বরণ করে এবং কোন সন্তান রেখে না যায়,এবং তার একজন বোন  থাকে,সে উত্তরাধিকারের অর্ধেক পাবে। যদি সে (বোন) পূর্বে মৃত্যুবরন করে,সে (ভাই) তার থেকে উত্তরাধিকার প্রাপ্ত হবে,যদি সে কোন সন্তান রেখে না যায়। যদি দুই বোন হয়,তারা উত্তরাধিকারের দুই তৃতীয়াংশ পাবে। যদি সহোদর পুরুষ এবং নারী হয়,পুরুষ নারীর দিগুন পাবে”। আল্লাহ এভাবে তোমাদের জন্য পরিষ্কার বর্ণনা করেন,পাছে তোমরা পথভ্রষ্ট হও। আল্লাহ সবকিছু সম্পর্কে পূর্ণ অবগত।",,,,
,,,,,,,
5,0,,"পরম করূনাময়,পরম দয়ালু আল্লাহর নামে শুরু করছি।",,,,
,1,,"হে তোমরা যারা বিশ্বাস কর,তোমরা তোমাদের অঙ্গীকারসমূহ পরিপূর্ন করবে। তোমাদের জন্য গবাদি পশু খাওয়া অনুমোদিত,সেগুলো ছাড়া যেগুলো এখানে নির্দিষ্টভাবে নিষেধ করা হয়েছে। তোমরা পুরো হজ্ব তীর্থযাত্রা জুড়ে শিকার করাকে অনুমোদন করবে না। আল্লাহ যা ইচ্ছা জারি করেন।",,,,
,2,,"হে যারা বিশ্বাস কর,না লঙ্ঘন করবে আল্লাহর দ্বারা প্রতিষ্ঠিত ধর্মানুষ্ঠানসমূহ,না পবিত্র মাসসমূহ,না সে পশু যেগুলো উৎসর্গ করা হবে,না মালাগুলো যা তাদের চিহ্নিত করছে,না সে লোকদেরকে যারা পবিত্র তীর্থস্থান (কাবার) অভিমুখে যায,খুঁজতে তাদের প্রভুর পক্ষ থেকে  দান এবং অনুমোদন। যখন তোমরা তীর্থযাত্রা সম্পন্ন কর,তোমরা শিকার করতে পার।* আগ্রাসনে  প্ররোচিত হয়ো না,সে লোকদের প্রতি তোমাদের ঘৃনার দ্বারা,যারা এক সময় তোমাদেরকে পবিত্র মসজিদে যেতে বাধা দিয়েছিল। তোমরা সৎকর্মশীলতা এবং ধার্মিকতার বিষয়ে সহযোগিতা করবে;সহযোগিতা করবে না সে বিষয়সমূহে যেগুলো পাপপূর্ন এবং মন্দ। তোমরা আল্লাহকে মান্য করবে। শাস্তি প্রয়োগে আল্লাহ কঠোর।",,,***,
,3,"শুধু চার প্রকার মাংস নিষিদ্ধ <br> ""নিজে নিজেই মারা যায় <br> এমন পশুগুলো” সংজ্ঞায়িত","তোমাদের জন্য নিষিদ্ধ সেসব পশু যেগুলো নিজে নিজে মারা যায়,রক্ত,শুকরের মাংস*,এবং সেসব পশু যেগুলো আল্লাহ ছাড়া অন্য কারো প্রতি উৎসর্গীকৃত। (যেসব পশু নিজে নিজে মারা যায় অন্তর্ভূক্ত হয় সেগুলোর যেগুলো) শ্বাসরোধকৃত,কোন বস্তু দ্বারা আঘাতপ্রাপ্ত,উপর থেকে পতিত,তীক্ষ্ণ বস্তু দ্বারা বিদ্ধ,বন্য পশু দ্বারা আক্রান্ত - যদি না তোমরা তোমাদের পশুকে এটি মরার পূর্বে রক্ষা কর- এবং বেদীতে উৎসর্গীকৃত পশু। আরো নিষিদ্ধ ভাগ্যের খেলার মাধ্যমে মাংস বন্টন করা ; এটি একটি ঘৃণ্য কাজ। আজ,অবিশ্বাসীরা তোমাদের ধর্ম (সমূলে উৎপাটনের) বিষয়ে আশা ছেড়ে দিয়েছে;তাদেরকে ভয় করো না এবং বদলে আমাকে ভয় করো। আজ,আমি তোমাদের ধর্ম সম্পূর্ন করেছি,তোমাদের উপর আমার আশীর্বাদ যথার্থ করেছি,এবং আমি আত্মসমর্পণকে তোমাদের জন্য ধর্ম হিসেবে জারি করেছি। যদি কেউ দুর্ভিক্ষের জন্য বাধ্য হয় (নিষিদ্ধ খাদ্য খেতে),ইচ্ছাকৃতভাবে পাপপূর্ন না হয়ে,তবে আল্লাহ ক্ষমাকারী,দয়ালু। ",,,***,
,4,,"তারা তোমার সাথে পরামর্শ করে,কি তাদের জন্য আইনসম্মত সে বিষয়ে; বল,“তোমাদের জন্য সকল ভালো জিনিস আইনসম্মত,এর মধ্যে আছে সেগুলো যা প্রশিক্ষণ প্রাপ্ত কুকুর এবং বাজপাখি তোমাদের জন্য ধরে আনে,”তোমরা তাদেরকে আল্লাহর শিক্ষা অনুসারে প্রশিক্ষণ দাও। তোমরা খেতে পারো যা তারা তোমাদের জন্য ধরে আনে,এবং সেগুলোর উপর আল্লাহর নাম বল। তোমরা আল্লাহকে মান্য করবে। আল্লাহ হিসাব গ্রহনে সবচেয়ে দক্ষ।",,,,
,5,,"আজ,সকল ভালো খাদ্য তোমাদের জন্য আইনসম্মত করা হলো। ঐশীগ্রন্থের লোকদের খাদ্য তোমাদের জন্য আইনসম্মত। আরও,তোমরা বিশ্বাসীদের মধ্যে চরিত্রবান নারিদের বিয়ে করতে পারো,একই ভাবে পূর্ববর্তী ঐশীগ্রন্থের অনুসারিদের মধ্যে চরিত্রবান নারিদের,এই শর্তে যে তোমরা তাদেরকে তাদের প্রাপ্য মোহর প্রদান করবে। তোমরা (যৌণ) শুদ্ধতা বজায় রাখবে,ব্যভিচারে লিপ্ত না হয়ে,না গোপন প্রেমিক/প্রেমিকা রেখে। যে কেউ বিশ্বাস প্রত্যাখ্যান করে,তার সকল কর্ম নিষ্ফল হবে,এবং পরকালে সে ক্ষতিগ্রস্থদের সাথে থাকবে।",,,,
,6,ওজু ,"হে তোমরা যারা বিশ্বাস করো,যখন তোমরা সংযোগ প্রার্থনা (সালাত) প্রতিষ্ঠা করো,তোমরাঃ (১) তোমাদের মুখমণ্ডল ধোবে,(২) তোমাদের হাত কনুই পর্যন্ত ধোবে,(৩) তোমাদের মাথা মুছবে,এবং (৪) তোমাদের পায়ের পাতা গোড়ালি পর্যন্ত ধোবে। যদি তোমরা যৌন উত্তেজনার কারনে অপরিষ্কার থাকো,তোমরা গোসল করবে। যদি তোমরা অসুস্থ থাকো,অথবা ভ্রমনে থাকো,অথবা কোন পরিপাক ঘটিত নি:সরন থেকে থাকে (মূত্রজনিত,মলজনিত,অথবা বায়ু),অথবা নারিদের সাথে (যৌন) সংস্পর্শে এসে থাকো,এবং তোমরা পানি না পাও,তখন তোমরা শুষ্ক অজু (তায়াম্মুম) করবে পরিষ্কার শুষ্ক মাটি স্পর্শে করে,এরপর তোমাদের মুখমণ্ডল এবং হাত মুছার দ্বারা। আল্লাহ তোমাদের জন্য ধর্মকে কঠিন করতে চান না; তিনি তোমাদের পরিষ্কার করতে চান এবং তোমাদের প্রতি তাঁর আশীর্বাদ পূর্ণ করতে চান,যাতে তোমরা কৃতজ্ঞ হতে পার।",,,,
,7,,"তোমাদের প্রতি আল্লাহর আশীর্বাদকে স্মরণ করো,এবং তাঁর অঙ্গীকার যাতে তিনি তোমাদের সাথে অঙ্গীকারাবদ্ধঃ তোমরা বলেছিলে,“আমরা শুনি এবং আমরা মান্য করি।”তোমরা আল্লাহকে মান্য করবে; আল্লাহ অন্তরের গভীরতম চিন্তা সম্পর্কে পরিপূর্ণ অবগত।",,,,
,8,তোমরা মিথ্যা সাক্ষী দেবে না,"হে তোমরা যারা বিশ্বাস করো,তোমরা সম্পূর্ণরূপে ন্যায়পরায়ণ হবে,এবং আল্লাহকে মান্য করবে,যখন তোমরা সাক্ষী হিসাবে দায়িত্ব পালন করো। কিছু লোকের সাথে তোমাদের কলহের দরুন অবিচার করতে প্ররোচিত হইও না। তোমরা সম্পূর্ণরূপে ন্যায়পরায়ণ হবে,কারন এটা অধিকতর ন্যায়নিষ্ঠ। তোমরা আল্লাহকে মান্য করবে। আল্লাহ তোমাদের করা সবকিছু সম্পর্কে পরিপূর্ণ অবগত।",,,,
,9,,যারা বিশ্বাস করে এবং সৎ জীবন-যাপন করে তাদেরকে আল্লাহ ক্ষমা এবং এক মহা প্রতিদানের অঙ্গীকার করেন।,,,,
,10,,"তাদের জন্য যারা অবিশ্বাস করে এবং আমাদের প্রকাশনাসমূহ প্রত্যাখ্যান করে, তারা নরকের অধিবাসী।",,,,
,11,আল্লাহ বিশ্বাসীদের রক্ষা করেন,"হে তোমরা যারা বিশ্বাস কর,তোমাদের উপর আল্লাহর আশীর্বাদকে স্মরণ কর; যখন কিছু লোক তোমাদের বিরুদ্ধে হামলা করতে হাত বাড়িয়েছিল,তিনি তোমাদেরকে রক্ষা করেছিলেন এবং তাদের হাতগুলো আটকে রেখেছিলেন। তোমরা আল্লাহককে মান্য করবে ; বিশ্বাসীরা আল্লাহতে আস্থা রাখবে।",,,,
,12,আল্লাহর সুরক্ষার মধ্যে <br> থাকার শর্ত *,"আল্লাহ ইসরাইলের সন্তানদের থেকে একটি অঙ্গীকার নিয়েছিলেন,এবং আমরা তাদের মধ্যে বার জন গোত্রপতির উত্থান করেছিলাম। এবং আল্লাহ বলেছিলেন,""আমি তোমাদের সাথে আছি,যতক্ষণ তোমরা সংযোগ প্রার্থনাসমূহ (সালাত) পালন কর,বাধ্যতামূলক দান (যাকাত) দাও,এবং আমার বার্তাবাহকদের বিশ্বাস কর এবং তাদেরকে সম্মান কর,এবং আল্লাহকে সৎকর্মশীলতার ঋন দেয়া অব্যাহত রাখ। তাহলে আমি তোমাদের পাপসমূহ ক্ষমা করবো, এবং তোমাদেরকে প্রবাহিত ঝর্নাসহ বাগানসমূহে প্রবেশ করাব। যেকেউ এরপর অবিশ্বাস করে, অবশ্যই সঠিক পথ থেকে বিচ্যুত হয়েছে।""",,,***,
,13,আল্লাহর অঙ্গীকার লঙ্গনের ফল,"এটি ছিল তাদের সে অঙ্গীকার ভঙ্গের ফল যা আমরা তাদেরকে নিষেধ করেছিলাম,এবং আমরা তাদের অন্তরকে কঠিন হতে দিয়েছিলাম। ফলস্বরুপ,তারা কথাগুলো প্রসঙ্গের বাইরে নিয়েছিল,এবং তাদেরকে দেয়া কিছু আদেশকে অবহেলা করেছিল। তুমি অনবরত তাদের থেকে বিশ্বাসঘাতকতা প্রত্যক্ষ করবে,তাদের কিছু সংখ্যক ছাড়া। তুমি তাদেরকে মাফ করবে,এবং তাদেরকে উপেক্ষা করবে। আল্লাহ তাদেরকে ভালবাসেন যারা হিতৈষী।",,,,
,14,"খ্রিস্টানদেরও,আল্লাহর বার্তাবাহককে  <br> অবশ্যই মান্য করতে হবে ","আরো তাদের থেকে যারা বলেছিল,""আমরা খ্রিষ্টান"",আমরা তাদের অঙ্গীকার নিয়েছিলাম। কিন্তু তারা তাদেরকে দেয়া কিছু হুকুম উপেক্ষা করেছিল। ফলস্বরুপ, আমরা শাস্তি হিসেবে দিয়েছিলাম তাদের নিজেদের মধ্যে শত্রুতা এবং ঘৃণা,পুনরুত্থান দিন পর্যন্ত।  আল্লাহ এরপর তাদেরকে জানাবেন সবকিছু যা তারা করেছিল।",,,,
,15,কোরান : ইহুদী এবং খ্রিস্টানদের কাছে  <br> আল্লাহর বার্তা,"হে ঐশীগ্রন্থের লোকেরা,আমাদের বার্তাবাহক তোমাদের কাছে এসেছে তোমাদের জন্য ঘোষনা করতে অনেক বিষয় যা তোমরা ঐশীগ্রন্থে গোপন করেছ,এবং ক্ষমা করতে আরো অনেক সীমালঙ্ঘন যা তোমরা করেছ। আল্লাহ থেকে তোমাদের কাছে এক আলোকবর্তিকা এসেছে,এবং একটি  জ্ঞানগর্ভ ঐশীগ্রন্থ।",,,,
,16,,"এটা দিয়ে,আল্লাহ তাদেরকে পথপ্রদর্শন করেন যারা তাঁর সম্মতি খোজ করে। তিনি তাদেরকে শান্তির পথে পথপ্রদর্শন করেন,তাঁর সম্মতিতে অন্ধকার থেকে আলোর দিকে পরিচালিত করেন,এবং একটি সরল পথে পথপ্রদর্শন করেন।",,,,
,17,মহা মিথ্যারোপ,"নিশ্চয়ই তারা অংশীদার সাব্যস্তকারী যারা বলে যে,মরিয়মের পুত্র,মসিহ হচ্ছে আল্লাহ,বল,“কে আল্লাহর বিরোধিতা করতে পারে,যদি তিনি নিশ্চিহ্ন করতে চান মরিয়মের পুত্র মসিহ এবং তার মাকে,এবং পৃথিবীর উপরের সকলকে?”আকাশমন্ডলী  এবং পৃথিবীর,এবং তাদের মধ্যকার সবকিছুর সার্বভৌমত্ব আল্লাহর। তিনি সৃষ্টি করেন,যা কিছু তিনি ইচ্ছা করেন। আল্লাহ সর্বশক্তিমান।",,,,
,18,"ইহুদী,খ্রিষ্টান এবং মুসলিমদের <br> কাছে আল্লাহর বার্তাবাহক","ঈহুদি এবং খ্রিষ্টানরা বলেছিল,“আমরা আল্লাহর সন্তান এবং তাঁর অতিশয় প্রিয়।”বল,“তবে কেন তিনি তোমাদেরকে তোমাদের পাপের জন্য শাস্তি দেন? তোমরা শুধু তাঁর সৃষ্ট অন্যান্য মানুষদের মতই মানুষ”। তিনি যাকে ইচ্ছা ক্ষমা করেন এবং যাকে ইচ্ছা শাস্তি দেন। আকাশমন্ডলী  এবং পৃথিবীর,এবং তাদের মধ্যকার সবকিছুর সার্বভৌমত্ব আল্লাহর,এবং তাঁরই নিকট চূড়ান্ত নিয়তি। ",,,,
,19,আল্লাহর অঙ্গীকারকৃত বার্তাবাহক,"হে ঐশীগ্রন্থের লোকেরা,আমাদের বার্তাবাহক তোমাদের কাছে এসেছে,তোমাদের কাছে বিষয়সমূহ ব্যাখ্যা করতে,বার্তাবাহকহীন একটি সময়কালের পর,পাছে তোমরা বল,“আমরা কোন ধর্মপ্রচারক অথবা সতর্ককারী পাই নি”। একজন ধর্মপ্রচারক এবং সতর্ককারী এখন তোমাদের কাছে এসেছে। আল্লাহ সর্বশক্তিমান।*",,,***,
,20,,"স্মরণ করো,মুসা তার লোকদের বলেছিল,“হে আমার লোকেরা,তোমাদের উপর আল্লাহর আশীর্বাদকে স্মরণ করোঃ তিনি তোমাদের মধ্যে থেকে নবীদেরকে নিযুক্ত করেছিলেন,তোমাদেরকে রাজা বানিয়েছিলেন,এবং তোমাদেরকে দিয়েছিলেন,যা তিনি অন্য কোন লোকদের কখনো দেননি।",,,,
,21,আল্লাহ ঈসরাইলীদের <br> পবিত্র ভূমি দেন,"""হে আমার লোকেরা,সে পবিত্র ভূমিতে প্রবেশ কর,যা আল্লাহ তোমাদের জন্য জারি করেছেন,এবং বিদ্রোহ করো না,পাছে তোমরা ক্ষতিগ্রস্ত হও""।",,,,
,22,,"তারা বলেছিল,""হে মুসা,এতে শক্তিশালী লোকেরা আছে,এবং আমরা এতে প্রবেশ করবো না,যদি না তারা তা থেকে বেড়িয়ে আসে। যদি তারা বের হয়,আমরা প্রবেশ করছি।""",,,,
,23,,"দু'জন পুরুষ,যারা ছিল সশ্রদ্ধ এবং আল্লাহর আশীর্বাদপ্রাপ্ত,বলেছিল,""শুধু দরজা দিয়ে প্রবেশ করো। যদি তোমরা শুধু এতে প্রবেশ কর,তোমরা নিশ্চিতভাবে জয়লাভ করবে। তোমরা অবশ্যই আল্লাহতে আস্থা রাখবে,যদি তোমরা বিশ্বাসী হও।""",,,,
,24,তারা সকল <br> অলৌকিকতাসমূহ দেখা সত্ত্বেও ,"তারা বলেছিল,""হে মুসা,আমরা কখনো এতে প্রবেশ করবো না,যতক্ষণ তারা এতে রয়েছে। সেজন্য,যাও- তুমি এবং তোমার প্রভু - এবং যুদ্ধ করো। আমরা ঠিক এখানে বসে থাকছি।""",,,,
,25,,"সে বলেছিল,""আমার প্রভু,আমি শুধু আমাকে এবং আমার ভাইকে নিয়ন্ত্রণ করতে পারি। তাই আমাদেরকে মন্দ লোকদের সঙ্গ পরিত্যাগের অনুমতি দিন।""",,,,
,26,,"তিনি বলেছিলেন,“এখন থেকে,এটা তাদেরকে চল্লিশ বছরের জন্য নিষিদ্ধ করা হলো,যে সময় তারা উদ্দেশ্যহীনভাবে পৃথিবীতে ঘুরে বেড়াবে।""",,,,
,27,প্রথম হত্যা*,"তাদের জন্য আদমের দুই পুত্রের সত্য ইতিহাস আবৃত্তি করো। তারা একটি উৎসর্গ নিবেদন করেছিল,এবং এটি তাদের একজন থেকে গ্রহণ করা হয়েছিল,কিন্তু অন্যজন থেকে হয়নি। সে বলেছিল,“আমি অবশ্যই তোমাকে হত্যা করবো”। সে বলেছিল,“আল্লাহ শুধুমাত্র সৎকর্মীদের থেকে গ্রহণ করেন।",,,***,
,28,,"“যদি তুমি আমাকে হত্যা করতে তোমার হাত বাড়াও,আমি তোমাকে হত্যা করতে আমার হাত বাড়াচ্ছি না। কারন আমি মহাবিশ্বের প্রভু,আল্লাহকে ভক্তি করি।",,,,
,29,,"""আমি চাই তুমি,আমি নয়,আমার পাপ এবং তোমার পাপ বহন করো,তারপর শেষ পর্যন্ত নরকের বাসিন্দাদের সাথে অন্তর্ভুক্ত হও। সীমাতিক্রমকারীদের জন্য এমনই শাস্তি”। ",,,,
,30,,"তার অহমবোধ তার ভাইকে হত্যা করতে তাকে প্ররোচিত করলো। সে তাকে হত্যা করেছিল,এবং শেষ পর্যন্ত ক্ষতিগ্রস্থদের সাথে অন্তর্ভুক্ত হয়েছিল।",,,,
,31,,"আল্লাহ তখন একটি দাড় কাক পাঠিয়েছিলেন মাটি খুড়তে,তাকে শেখাতে কিভাবে তার ভাইয়ের মৃতদেহ সমাহিত করতে হবে। সে বলেছিল,""দু:খ আমার; আমি ব্যর্থ হয়েছি এই দাড় কাকের মত বুদ্ধিমান হতে,এবং আমার ভাইয়ের মৃতদেহ সমাহিত করতে। """,,,,
,32,হত্যা অপরাধের নিকৃষ্টতা  ,"এ কারনে,আমরা ইসরাইলের সন্তানদের জন্য জারি করেছিলাম যে,যেকেউ হত্যা করে এমন কোন ব্যক্তিকে যে হত্যা বা গুরুতর অপরাধ করেনি,এটা এমন হবে যেন সে সকল লোককে হত্যা করল। এবং যেকেউ একটি জীবন বাচায়,এটা এমন হবে যেন সে সকল লোকের জীবন বাচাল। আমাদের বার্তাবাহকরা তাদের কাছে স্পট প্রমান এবং প্রকাশনাসমূহ নিয়ে গিয়েছিল,কিন্তু তাদের অধিকাংশই,এই সবকিছুর পর,এখনও সীমালঙ্ঘন করছে।",,,,
,33,মৃত্যুদণ্ড প্রদান: <br> কখন এটি ন্যায্য?,"যারা আল্লাহ এবং তাঁর বার্তাবাহকের বিরুদ্ধে যুদ্ধ করে,এবং ভয়ংকর অপরাধসমূহ করে,তাদের জন্য হত্যা হওয়া,অথবা ক্রুশবিদ্ধ হওয়া,অথবা তাদের হাত এবং পাগুলো বিপরীত দিক থেকে কেটে ফেলে দেয়া,অথবা জনগন থেকে নির্বাসিত হওয়াই হবে উচিত শাস্তি। এটি তাদেরকে এই জীবনে অপদস্থ করতে,এরপর তারা পরকালে আরো অধিক মন্দ শাস্তি ভোগ করে।",,,,
,34,,"তারা নিষ্কৃতপ্রাপ্ত যারা অনুশোচনা করে,তোমরা তাদেরকে পরাস্ত করার পূর্বে। তোমাদের জানা উচিত যে,আল্লাহ ক্ষমাকারী,পরম দয়ালু।",,,,
,35,,"হে তোমরা যারা বিশ্বাস কর,তোমরা আল্লাহকে ভক্তি-শ্রদ্ধা করবে এবং তাঁর সান্নিধ্যের রাস্তা এবং উপায় খুজবে,এবং তাঁর উদ্দেশ্যে সংগ্রাম করবে,যাতে তোমরা সফল হতে পার।",,,,
,36,অবিশ্বাসের মূল্য,"অবশ্যই,তারা যারা অবিশ্বাস করে,যদি তারা পৃথিবীর সবকিছুর,এমনকি এর দিগুন পরিমান অধিকার করে, এবং পুনুরুত্থান দিবসে শাস্তি থেকে তারা নিষ্কৃতি পেতে তা মুক্তিপন হিসেবে দিতে চায়,এটা তাদের থেকে গ্রহণ করা হবে না; তারা টেনে এনেছে এক যন্ত্রণাদায়ক শাস্তি।",,,,
,37,,"তারা নরক থেকে বের হতে চাইবে,কিন্ত হায়,তারা কখনোই সেখান থেকে বের হতে পারবে না; তাদের শাস্তি চিরস্থায়ী।",,,,
,38,গাণিতিক প্রমান কোরানীয় ন্যায়বিচারকে সমর্থন করে,"চোর,নারী হোক অথবা পুরুষ,তোমরা তাদের হাত চিহ্নিত করে দিবে* তাদের অপরাধের শাস্তি হিসাবে,এবং আল্লাহ থেকে একটি উদাহরণ দিতে। আল্লাহ সর্বশক্তিমান,সবচেয়ে জ্ঞানী।",,,***,
,39,,"যদি কেউ এই অপরাধ করার পর অনুশোচনা করে,এবং সংশোধিত হয়,আল্লাহ তাকে মুক্ত করেন। আল্লাহ ক্ষমাকারী,পরম দয়ালু।    ",,,,
,40,,"তুমি কি জানো না যে,আল্লাহ আকাশমন্ডলী ও পৃথিবীর সার্বভৌমত্বের অধিকারী? তিনি যাকে ইচ্ছা শাস্তি দেন,এবং যাকে ইচ্ছা ক্ষমা করেন। আল্লাহ সর্বশক্তিমান।",,,,
